,developer,score0,img_link,date,pos,console,link,publisher,score1,score2,name,label
0,Irem Software Engineering,N/A,http://www.vgchartz.com//games/boxart/full_8531775AmericaFrontccc.jpg,31st Jul 99,16220,PS,http://www.vgchartz.com//games/game.php?id=12444&region=All,Irem Software Engineering,N/A,N/A,R-Type Delta-:-PS,0.03
1,NanaOn-Sha,N/A,http://www.vgchartz.com//games/boxart/89603ccc.jpg,31st Jul 99,3318,PS,http://www.vgchartz.com//games/game.php?id=4643&region=All,Sony Computer Entertainment,N/A,N/A,Um Jammer Lammy-:-PS,0.66
2,Unknown,N/A,http://www.vgchartz.com//games/boxart/full_6208870JapanFrontccc.jpg,01st Sep 16,16596,PSV,http://www.vgchartz.com//games/game.php?id=133961&region=All,Idea Factory,N/A,N/A,Bara ni Kakusareshi Verite-:-PSV,0.02
3,Traveller's Tales,N/A,http://www.vgchartz.com//games/boxart/full_lego-harry-potter-years-1-4_2AmericaFront.jpg,29th Jun 10,3104,PSP,http://www.vgchartz.com//games/game.php?id=42746&region=All,Warner Bros. Interactive,7.5,N/A,LEGO Harry Potter: Years 1-4-:-PSP,0.71
4,The Fun Pimps,N/A,http://www.vgchartz.com//games/boxart/full_8931458AmericaFrontccc.jpg,13th Dec 13,20639,PC,http://www.vgchartz.com//games/game.php?id=80943&region=All,The Fun Pimps,N/A,N/A,7 Days to Die-:-PC,4.18
5,Seta Corporation,N/A,http://www.vgchartz.com//games/boxart/full_99115JapanFrontccc.jpg,24th Nov 95,12997,SAT,http://www.vgchartz.com//games/game.php?id=4455&region=All,Seta Corporation,N/A,N/A,Super Real Mahjong Graffiti-:-SAT,0.07
6,Success,N/A,http://www.vgchartz.com//games/boxart/full_3859412JapanFrontccc.jpg,13th Nov 14,18714,3DS,http://www.vgchartz.com//games/game.php?id=84251&region=All,Success,N/A,N/A,Touch Detective Funghi Rhythm-:-3DS,0.01
7,n-Space,N/A,http://www.vgchartz.com//games/boxart/full_2735873PALFrontccc.jpg,17th Jul 12,7824,3DS,http://www.vgchartz.com//games/game.php?id=51495&region=All,Square Enix,6.6,N/A,Heroes of Ruin-:-3DS,0.21
8,Gogii Games,N/A,http://www.vgchartz.com//games/boxart/full_princess-isabella-a-witchs-curse_3AmericaFront.jpg,03rd Sep 10,12073,DS,http://www.vgchartz.com//games/game.php?id=47709&region=All,GSP,N/A,N/A,Princess Isabella: A Witch's Curse-:-DS,0.08
9,Tera Box,N/A,http://www.vgchartz.com//games/boxart/full_94008JapanFrontccc.jpg,02nd Apr 09,19423,Wii,http://www.vgchartz.com//games/game.php?id=32287&region=All,Tera Box,N/A,N/A,Doala de Wii-:-Wii,0.01
10,Playrix Entertainment,N/A,http://www.vgchartz.com//games/boxart/full_fishdom_858AmericaFront.jpg,21st Jun 08,19627,PC,http://www.vgchartz.com//games/game.php?id=52907&region=All,Unknown,N/A,N/A,Fishdom-:-PC,0.01
11,Blitz Games,N/A,http://www.vgchartz.com//games/boxart/full_the-biggest-loser-challenge_3AmericaFront.jpg,04th Nov 10,3326,Wii,http://www.vgchartz.com//games/game.php?id=47261&region=All,THQ,N/A,N/A,The Biggest Loser: Challenge-:-Wii,0.65
12,Sony Computer Entertainment,N/A,http://www.vgchartz.com//games/boxart/3647504ccc.jpg,17th Oct 06,14767,PSP,http://www.vgchartz.com//games/game.php?id=2731&region=All,D3 Publisher,N/A,N/A,WTF: Work Time Fun-:-PSP,0.04
13,Ensemble Studios,N/A,http://www.vgchartz.com//games/boxart/full_1736497AmericaFrontccc.jpg,30th Sep 97,18764,PC,http://www.vgchartz.com//games/game.php?id=7422&region=All,Microsoft,N/A,N/A,Age of Empires-:-PC,0.01
14,Konami,N/A,http://www.vgchartz.com//games/boxart/full_7367167AmericaFrontccc.jpg,06th Jun 06,13209,PSP,http://www.vgchartz.com//games/game.php?id=881&region=All,Konami,N/A,N/A,Gradius Collection-:-PSP,0.06
15,Big Deez Productions,N/A,http://www.vgchartz.com//games/boxart/full_7593035AmericaFrontccc.jpg,05th Jun 18,16853,PS4,http://www.vgchartz.com//games/game.php?id=82010&region=All,Wired Productions,N/A,N/A,Shaq-Fu: A Legend Reborn-:-PS4,0.02
16,Q Entertainment,N/A,http://www.vgchartz.com//games/boxart/7064302ccc.jpg,07th Nov 06,10115,PSP,http://www.vgchartz.com//games/game.php?id=673&region=All,Buena Vista,N/A,N/A,Every Extend Extra-:-PSP,0.13
17,Arc System Works,N/A,http://www.vgchartz.com//games/boxart/full_8494587AmericaFrontccc.jpg,15th Jun 10,14442,DS,http://www.vgchartz.com//games/game.php?id=43513&region=All,Aksys Games,N/A,N/A,River City Soccer Hooligans-:-DS,0.05
18,Phoenix Interactive,N/A,http://www.vgchartz.com//games/boxart/full_1558005PALFrontccc.jpg,19th Jun 09,19576,PSP,http://www.vgchartz.com//games/game.php?id=35361&region=All,Ubisoft,N/A,N/A,Imagine: Champion Rider 2009-:-PSP,0.01
19,Jaleco,N/A,http://www.vgchartz.com//games/boxart/full_3367150JapanFrontccc.jpg,29th Sep 95,11425,SAT,http://www.vgchartz.com//games/game.php?id=3500&region=All,Jaleco,N/A,N/A,Idol Janshi Suchie-Pai Remix-:-SAT,0.1
20,Traveller's Tales,N/A,http://www.vgchartz.com//games/boxart/full_3585957AmericaFrontccc.jpg,12th Jun 15,2824,XOne,http://www.vgchartz.com//games/game.php?id=85091&region=All,Warner Bros. Interactive Entertainment,N/A,N/A,LEGO Jurassic World-:-XOne,0.78
21,Max Design,N/A,http://www.vgchartz.com//games/boxart/full_9403126AmericaFrontccc.jpg,01st Feb 00,20429,PC,http://www.vgchartz.com//games/game.php?id=7431&region=All,Sunflowers,N/A,N/A,1602 A.D.-:-PC,2.7
22,Unknown,N/A,http://www.vgchartz.com//games/boxart/full_3397262JapanFrontccc.jpg,29th Sep 16,16798,PSV,http://www.vgchartz.com//games/game.php?id=139003&region=All,Entergram,N/A,N/A,Kimi o Aogi Otome wa Hime ni-:-PSV,0.02
23,Rising Star Games,N/A,http://www.vgchartz.com//games/boxart/full_angel-cat-sugar_467PALFront.jpg,16th Oct 09,20158,PC,http://www.vgchartz.com//games/game.php?id=40276&region=All,Rising Star,N/A,N/A,Angel Cat Sugar-:-PC,0.01
24,Behaviour Interactive,N/A,http://www.vgchartz.com//games/boxart/full_alvin-and-the-chipmunks-chipwrecked_568AmericaFront.jpg,15th Nov 11,11117,DS,http://www.vgchartz.com//games/game.php?id=52956&region=All,Majesco,N/A,N/A,Alvin and the Chipmunks: Chipwrecked-:-DS,0.11
25,HB Studios,N/A,http://www.vgchartz.com//games/boxart/full_5246749PALFrontccc.jpg,04th Sep 15,17968,PC,http://www.vgchartz.com//games/game.php?id=86110&region=All,Big Ben Interactive,N/A,N/A,Rugby World Cup 2015-:-PC,0.01
26,SIMS,N/A,http://www.vgchartz.com//games/boxart/1204443ccc.jpg,22nd Mar 05,3140,PSP,http://www.vgchartz.com//games/game.php?id=6802&region=All,Sony Computer Entertainment,6.6,N/A,Ape Escape: On the Loose-:-PSP,0.7
27,SuperVillain Studios,N/A,http://www.vgchartz.com//games/boxart/full_order-up_425PALFront.jpg,31st Aug 12,17723,3DS,http://www.vgchartz.com//games/game.php?id=64306&region=All,Ignition Entertainment,N/A,N/A,Order Up!!-:-3DS,0.01
28,EA Los Angeles,N/A,http://www.vgchartz.com//games/boxart/9016985ccc.gif,26th Mar 07,11566,Wii,http://www.vgchartz.com//games/game.php?id=12627&region=All,Electronic Arts,N/A,N/A,Medal of Honor: Vanguard-:-Wii,0.1
29,Twice Circled,N/A,http://www.vgchartz.com//games/boxart/full_4750533AmericaFrontccc.jpg,N/A,52546,PC,http://www.vgchartz.com//games/game.php?id=223659&region=All,Unknown,N/A,N/A,Big Pharma-:-PC,0.23
30,The Sims Studio,N/A,http://www.vgchartz.com//games/boxart/full_the-sims-3-pets_506AmericaFront.jpg,18th Oct 11,20197,3DS,http://www.vgchartz.com//games/game.php?id=51663&region=All,Electronic Arts,N/A,N/A,The Sims 3: Pets-:-3DS,0.01
31,Slightly Mad Studios,N/A,http://www.vgchartz.com//games/boxart/full_8363585AmericaFrontccc.jpg,03rd Jul 12,14318,X360,http://www.vgchartz.com//games/game.php?id=68415&region=All,Atari,N/A,N/A,Test Drive: Ferrari Legends-:-X360,0.05
32,Avalanche Software,N/A,http://www.vgchartz.com//games/boxart/2072250ccc.jpg,22nd Mar 05,7313,XB,http://www.vgchartz.com//games/game.php?id=578&region=All,Atari,N/A,N/A,Dragon Ball Z: Sagas-:-XB,0.24
33,Larian Studios,N/A,http://www.vgchartz.com//games/boxart/full_divinity-ii-the-dragon-knight-saga_63AmericaFront.jpg,12th Apr 11,9971,X360,http://www.vgchartz.com//games/game.php?id=48574&region=All,Atlus,7.5,N/A,Divinity II: The Dragon Knight Saga-:-X360,0.13
34,Erik Asmussen,N/A,http://www.vgchartz.com//games/boxart/full_4824406AmericaFrontccc.jpg,N/A,54516,PC,http://www.vgchartz.com//games/game.php?id=223485&region=All,Unknown,N/A,N/A,Robot Roller-Derby Disco Dodgeball-:-PC,0.4
35,KCEJ,N/A,http://www.vgchartz.com//games/boxart/full_9375116AmericaFrontccc.jpg,20th Mar 02,1016,PS,http://www.vgchartz.com//games/game.php?id=6547&region=All,Konami,7.0,N/A,Yu-Gi-Oh! Forbidden Memories-:-PS,1.88
36,Roxor Games,N/A,http://www.vgchartz.com//games/boxart/9365716ccc.jpg,08th Jun 05,12562,PS2,http://www.vgchartz.com//games/game.php?id=1021&region=All,RedOctane,N/A,N/A,In The Groove-:-PS2,0.07
37,Nitro Games,N/A,http://www.vgchartz.com//games/boxart/default.jpg,31st Jul 09,15027,PC,http://www.vgchartz.com//games/game.php?id=32869&region=All,Paradox Interactive,7.4,N/A,East India Company-:-PC,0.04
38,Ubisoft Montreal,N/A,http://www.vgchartz.com//games/boxart/full_6338570AmericaFrontccc.jpg,16th Nov 08,5807,PSP,http://www.vgchartz.com//games/game.php?id=29157&region=All,Ubisoft,6.3,N/A,Shaun White Snowboarding-:-PSP,0.34
39,WizarBox,N/A,http://www.vgchartz.com//games/boxart/full_captain-morgane-and-the-golden-turtle_997PALFront.jpg,03rd Feb 12,17727,Wii,http://www.vgchartz.com//games/game.php?id=54121&region=All,Reef Entertainment,N/A,N/A,Captain Morgane and the Golden Turtle-:-Wii,0.01
40,Spark Unlimited,N/A,http://www.vgchartz.com//games/boxart/full_7866054AmericaFrontccc.jpg,04th Nov 08,7007,X360,http://www.vgchartz.com//games/game.php?id=28744&region=All,Gamecock,4.0,N/A,Legendary-:-X360,0.26
41,Princess Soft,N/A,http://www.vgchartz.com//games/boxart/full_9369151JapanFrontccc.jpg,30th May 02,16593,PS2,http://www.vgchartz.com//games/game.php?id=3897&region=All,Princess Soft,N/A,N/A,Natsuiro no Sunadokei-:-PS2,0.02
42,Climax Group,N/A,http://www.vgchartz.com//games/boxart/8708779ccc.jpg,10th Jan 06,10958,DS,http://www.vgchartz.com//games/game.php?id=5545&region=All,THQ,N/A,N/A,Nicktoons: Unite!-:-DS,0.11
43,Nintendo SDD,N/A,http://www.vgchartz.com//games/boxart/full_daigasso-band-brothers-dx_5PALFront.jpg,21st May 10,4174,DS,http://www.vgchartz.com//games/game.php?id=24242&region=All,Nintendo,N/A,N/A,Jam With the Band-:-DS,0.51
44,Argonaut Games,N/A,http://www.vgchartz.com//games/boxart/8983185ccc.jpg,30th Jun 99,3017,PS,http://www.vgchartz.com//games/game.php?id=425&region=All,Fox Interactive,6.5,N/A,Croc 2-:-PS,0.73
45,Sinister Games,N/A,http://www.vgchartz.com//games/boxart/6766468ccc.jpg,30th Nov 99,1843,PS,http://www.vgchartz.com//games/game.php?id=603&region=All,SouthPeak Interactive,N/A,N/A,The Dukes of Hazzard: Racing for Home-:-PS,1.19
46,Arika,N/A,http://www.vgchartz.com//games/boxart/8679703ccc.jpg,24th Oct 00,2638,PS2,http://www.vgchartz.com//games/game.php?id=4384&region=All,Capcom,N/A,N/A,Street Fighter EX3-:-PS2,0.85
47,Codemasters,N/A,http://www.vgchartz.com//games/boxart/6449269ccc.jpg,18th Feb 03,15025,XB,http://www.vgchartz.com//games/game.php?id=376&region=All,Codemasters,N/A,N/A,Colin McRae Rally 3-:-XB,0.04
48,Rage Software,N/A,http://www.vgchartz.com//games/boxart/full_4841365AmericaFrontccc.jpg,14th Jun 02,11522,PS2,http://www.vgchartz.com//games/game.php?id=918&region=All,Majesco,N/A,N/A,Global Touring Challenge: Africa-:-PS2,0.1
49,Cosmigo,N/A,http://www.vgchartz.com//games/boxart/full_557729AmericaFrontccc.jpg,26th Oct 07,4986,DS,http://www.vgchartz.com//games/game.php?id=33006&region=All,Telegames,N/A,N/A,Solitaire Overload-:-DS,0.42
50,Edge of Reality,N/A,http://www.vgchartz.com//games/boxart/8378535ccc.jpg,05th Jun 08,6879,PS3,http://www.vgchartz.com//games/game.php?id=14806&region=All,Sega,5.6,N/A,The Incredible Hulk-:-PS3,0.26
51,EA Canada,N/A,http://www.vgchartz.com//games/boxart/full_9262680AmericaFrontccc.jpg,25th Sep 06,4457,X360,http://www.vgchartz.com//games/game.php?id=5448&region=All,EA Sports,6.0,N/A,NBA Live 07-:-X360,0.47
52,Unknown,N/A,http://www.vgchartz.com//games/boxart/4687358ccc.jpg,13th Mar 06,7167,X360,http://www.vgchartz.com//games/game.php?id=2405&region=All,THQ,7.0,N/A,The Outfit-:-X360,0.25
53,Square Enix,2.0,http://www.vgchartz.com//games/boxart/full_1198967JapanFrontccc.jpg,03rd Jul 08,12429,DS,http://www.vgchartz.com//games/game.php?id=24777&region=All,Square Enix,N/A,N/A,Nanashi no Game-:-DS,0.08
54,Sega,N/A,http://www.vgchartz.com//games/boxart/6732328ccc.jpg,31st Dec 90,650,GEN,http://www.vgchartz.com//games/game.php?id=6453&region=All,Sega,N/A,N/A,Streets of Rage-:-GEN,2.6
55,Idea Factory,N/A,http://www.vgchartz.com//games/boxart/full_death-connection-portable_237JapanFront.jpg,03rd Feb 11,17862,PSP,http://www.vgchartz.com//games/game.php?id=48727&region=All,Idea Factory,N/A,N/A,Death Connection Portable-:-PSP,0.01
56,"Pai, Inc",N/A,http://www.vgchartz.com//games/boxart/full_9506532AmericaFrontccc.jpg,26th Sep 01,6621,PS2,http://www.vgchartz.com//games/game.php?id=33982&region=All,THQ,N/A,N/A,Bass Strike-:-PS2,0.28
57,Indie Built,N/A,http://www.vgchartz.com//games/boxart/7747429ccc.jpg,29th Mar 06,8846,X360,http://www.vgchartz.com//games/game.php?id=5935&region=All,2K Sports,7.7,N/A,Top Spin 2-:-X360,0.17
58,Cocktail Soft,N/A,http://www.vgchartz.com//games/boxart/full_3262335JapanFrontccc.jpg,22nd Jan 09,18210,PS2,http://www.vgchartz.com//games/game.php?id=31045&region=All,GN Software,N/A,N/A,Pia Carrot e Youkoso!! G.P. Gakuen Princess-:-PS2,0.01
59,Krome Studios,N/A,http://www.vgchartz.com//games/boxart/full_legend-of-the-guardians-the-owls-of-gahoole_3AmericaFront.jpg,14th Sep 10,12584,X360,http://www.vgchartz.com//games/game.php?id=44307&region=All,Warner Bros. Interactive,N/A,N/A,Legend of the Guardians: The Owls of Ga'Hoole-:-X360,0.07
60,Spike,N/A,http://www.vgchartz.com//games/boxart/full_4176549JapanFrontccc.jpg,02nd Dec 04,12298,DS,http://www.vgchartz.com//games/game.php?id=3580&region=All,Spike,N/A,N/A,Kenshuui Tendo Dokuta-:-DS,0.08
61,TYO,N/A,http://www.vgchartz.com//games/boxart/full_3128326JapanFrontccc.jpg,18th Jun 98,4939,PS,http://www.vgchartz.com//games/game.php?id=40796&region=All,TYO,N/A,N/A,JGTC: All-Japan Grand Touring Car Championship-:-PS,0.42
62,Spiders,N/A,http://www.vgchartz.com//games/boxart/full_4037163PALFrontccc.jpg,07th May 14,18960,PC,http://www.vgchartz.com//games/game.php?id=73259&region=All,Focus Home Interactive,N/A,N/A,Bound By Flame-:-PC,0.17
63,Ascaron Entertainment,N/A,http://www.vgchartz.com//games/boxart/full_4304251AmericaFrontccc.jpg,11th May 09,3532,PS3,http://www.vgchartz.com//games/game.php?id=26407&region=All,CDV Software Entertainment,7.1,N/A,Sacred 2: Fallen Angel-:-PS3,0.61
64,Konami,9.2,http://www.vgchartz.com//games/boxart/full_5245960AmericaFrontccc.jpg,21st Oct 08,5508,DS,http://www.vgchartz.com//games/game.php?id=24075&region=All,Konami,8.2,8.3,Castlevania: Order of Ecclesia-:-DS,0.37
65,Gas Powered Games,N/A,http://www.vgchartz.com//games/boxart/full_8060194AmericaFrontccc.jpg,02nd Mar 10,8336,PC,http://www.vgchartz.com//games/game.php?id=34946&region=All,Square Enix,7.5,N/A,Supreme Commander 2-:-PC,1.05
66,Ubisoft Paris,N/A,http://www.vgchartz.com//games/boxart/full_4412482AmericaFrontccc.jpg,15th Nov 13,4512,PS4,http://www.vgchartz.com//games/game.php?id=73115&region=All,Ubisoft,7.5,N/A,Just Dance 2014-:-PS4,0.47
67,Konami,N/A,http://www.vgchartz.com//games/boxart/full_568550JapanFrontccc.jpg,27th May 10,15457,DS,http://www.vgchartz.com//games/game.php?id=44279&region=All,Konami,N/A,N/A,Yumeiro Patissiere: My Sweets Cooking-:-DS,0.03
68,System Soft Alpha,N/A,http://www.vgchartz.com//games/boxart/full_1345175JapanFrontccc.jpg,27th Nov 08,18701,PS2,http://www.vgchartz.com//games/game.php?id=29420&region=All,System Soft,N/A,N/A,Moe Moe 2-ji Taisen (Ryoku) * Deluxe-:-PS2,0.01
69,High Moon Studios,N/A,http://www.vgchartz.com//games/boxart/full_4640359AmericaFrontccc.png,18th Nov 15,4493,PS4,http://www.vgchartz.com//games/game.php?id=85890&region=All,Activision,N/A,N/A,Deadpool-:-PS4,0.47
70,Paradigm Entertainment,N/A,http://www.vgchartz.com//games/boxart/full_7765684AmericaFrontccc.jpg,16th Sep 00,14854,N64,http://www.vgchartz.com//games/game.php?id=1192&region=All,Infogrames,N/A,N/A,Looney Tunes Duck Dodgers Starring: Daffy Duck-:-N64,0.04
71,Neversoft Entertainment,N/A,http://www.vgchartz.com//games/boxart/full_7000850AmericaFrontccc.jpg,31st Aug 99,234,PS,http://www.vgchartz.com//games/game.php?id=5930&region=All,Activision,9.6,N/A,Tony Hawk's Pro Skater-:-PS,5.02
72,Unknown,N/A,http://www.vgchartz.com//games/boxart/full_4700522AmericaFrontccc.jpg,04th Apr 13,29340,PC,http://www.vgchartz.com//games/game.php?id=77532&region=All,Shiro Games,N/A,N/A,Evoland-:-PC,0.43
73,Eighting,N/A,http://www.vgchartz.com//games/boxart/full_9114894JapanFrontccc.jpg,23rd Oct 08,18721,Wii,http://www.vgchartz.com//games/game.php?id=28293&region=All,Namco Bandai,N/A,N/A,Pro Golfer Saru-:-Wii,0.01
74,Top Heavy Studios,N/A,http://www.vgchartz.com//games/boxart/8938575ccc.jpg,31st Aug 04,9952,PS2,http://www.vgchartz.com//games/game.php?id=5827&region=All,Gathering of Developers,N/A,N/A,The Guy Game-:-PS2,0.13
75,Full Fat,N/A,http://www.vgchartz.com//games/boxart/full_6880806AmericaFrontccc.jpg,09th Oct 05,10888,GBA,http://www.vgchartz.com//games/game.php?id=28085&region=All,Namco,N/A,N/A,Pac-Man World 2-:-GBA,0.11
76,Office Create,N/A,http://www.vgchartz.com//games/boxart/full_6209536AmericaFrontccc.jpg,20th Mar 07,556,Wii,http://www.vgchartz.com//games/game.php?id=3015&region=All,Majesco,5.9,N/A,Cooking Mama: Cook Off-:-Wii,2.89
77,Prototype,N/A,http://www.vgchartz.com//games/boxart/full_6762070JapanFrontccc.jpg,14th Aug 14,18447,PSV,http://www.vgchartz.com//games/game.php?id=81580&region=All,Prototype,N/A,N/A,Clannad-:-PSV,0.01
78,TOSE,N/A,http://www.vgchartz.com//games/boxart/full_8905729JapanFrontccc.jpg,27th Apr 06,14732,DS,http://www.vgchartz.com//games/game.php?id=4630&region=All,Nintendo,N/A,N/A,Tabi no Yubisashi Kaiwachou DS: DS Series 5 Deutsch-:-DS,0.04
79,Unknown,N/A,http://www.vgchartz.com//games/boxart/full_345297JapanFrontccc.jpg,14th Sep 17,18922,NS,http://www.vgchartz.com//games/game.php?id=204519&region=All,Tecmo Koei,N/A,N/A,Winning Post 8 2017-:-NS,0.01
80,Williams Entertainment,N/A,http://www.vgchartz.com//games/boxart/full_8789023AmericaFrontccc.jpg,01st Oct 95,6822,PS,http://www.vgchartz.com//games/game.php?id=748&region=All,GT Interactive,N/A,N/A,Final Doom-:-PS,0.27
81,Unknown,N/A,http://www.vgchartz.com//games/boxart/default.jpg,20th Sep 12,16043,PS3,http://www.vgchartz.com//games/game.php?id=71015&region=All,Namco Bandai Games,N/A,N/A,Eureka Seven AO: Jungfrau no Hanabanatachi-:-PS3,0.03
82,Retro Studios,9.4,http://www.vgchartz.com//games/boxart/full_4391412AmericaFrontccc.jpg,27th Aug 07,1074,Wii,http://www.vgchartz.com//games/game.php?id=6969&region=All,Nintendo,9.0,N/A,Metroid Prime 3: Corruption-:-Wii,1.41
83,Bohemia Interactive,N/A,http://www.vgchartz.com//games/boxart/full_1892493PALFrontccc.jpg,12th Sep 13,10936,PC,http://www.vgchartz.com//games/game.php?id=71075&region=All,Bohemia Interactive,N/A,N/A,Arma III-:-PC,0.11
84,Nintendo EAD,N/A,http://www.vgchartz.com//games/boxart/full_6562868AmericaFrontccc.jpg,22nd Nov 13,402,3DS,http://www.vgchartz.com//games/game.php?id=73171&region=All,Nintendo,9.3,N/A,The Legend of Zelda: A Link Between Worlds-:-3DS,3.71
85,Sega,N/A,http://www.vgchartz.com//games/boxart/full_captain-america-super-soldier_806AmericaFront.jpg,19th Jul 11,13994,DS,http://www.vgchartz.com//games/game.php?id=47793&region=All,Sega,N/A,N/A,Captain America: Super Soldier-:-DS,0.05
86,Namco Bandai Games,N/A,http://www.vgchartz.com//games/boxart/full_schlag-den-raab_5PALFront.jpg,10th Sep 10,8335,Wii,http://www.vgchartz.com//games/game.php?id=46771&region=All,Namco Bandai,N/A,N/A,Schlag den Raab-:-Wii,0.19
87,Mistic Software,N/A,http://www.vgchartz.com//games/boxart/2163247ccc.jpg,02nd Oct 07,13232,DS,http://www.vgchartz.com//games/game.php?id=7610&region=All,Atari,N/A,N/A,Backyard Hockey-:-DS,0.06
88,Nippon Columbia,N/A,http://www.vgchartz.com//games/boxart/full_8909307JapanFrontccc.png,07th Dec 17,11437,NS,http://www.vgchartz.com//games/game.php?id=220491&region=All,Nippon Columbia,N/A,N/A,Sumikko Gurashi: Sumikko Park e Youkoso-:-NS,0.1
89,Spike,N/A,http://www.vgchartz.com//games/boxart/9342083ccc.jpg,18th Oct 05,1213,PS2,http://www.vgchartz.com//games/game.php?id=576&region=All,Atari,N/A,N/A,Dragon Ball Z: Budokai Tenkaichi-:-PS2,2.0
90,n-Space,N/A,http://www.vgchartz.com//games/boxart/1798365ccc.jpg,30th Sep 98,1533,PS,http://www.vgchartz.com//games/game.php?id=601&region=All,GT Interactive,N/A,N/A,Duke Nukem: Time to Kill-:-PS,1.38
91,Magic Pockets,N/A,http://www.vgchartz.com//games/boxart/2909180ccc.jpg,08th Nov 05,3555,GBA,http://www.vgchartz.com//games/game.php?id=7034&region=All,Electronic Arts,6.0,N/A,Harry Potter and the Goblet of Fire-:-GBA,0.61
92,Acquire,N/A,http://www.vgchartz.com//games/boxart/full_2848967PALFrontccc.jpg,09th Feb 07,20321,PSP,http://www.vgchartz.com//games/game.php?id=20018&region=All,Sony Computer Entertainment,N/A,N/A,Shinobido: Tales of the Ninja-:-PSP,0.01
93,Razorback Developments,N/A,http://www.vgchartz.com//games/boxart/full_4698784AmericaFrontccc.jpg,30th Aug 06,17705,GBA,http://www.vgchartz.com//games/game.php?id=37405&region=All,"Destination Software, Inc",N/A,N/A,Hot Wheels: Stunt Track Challenge / World Race-:-GBA,0.01
94,Capcom,N/A,http://www.vgchartz.com//games/boxart/full_3637443JapanFrontccc.jpg,23rd Jun 15,11333,PS4,http://www.vgchartz.com//games/game.php?id=85490&region=All,Capcom,N/A,N/A,Devil May Cry 4 Special Edition-:-PS4,0.1
95,Unknown,N/A,http://www.vgchartz.com//games/boxart/default.jpg,01st Jan 16,19607,PC,http://www.vgchartz.com//games/game.php?id=73205&region=All,Behaviour Interactive,N/A,N/A,"Warhammer 40,000: Eternal Crusade-:-PC",0.01
96,Koei,N/A,http://www.vgchartz.com//games/boxart/full_6806718AmericaFrontccc.jpg,26th Sep 01,4551,PS2,http://www.vgchartz.com//games/game.php?id=3584&region=All,KOEI,N/A,N/A,Kessen II-:-PS2,0.46
97,Koei Tecmo Games,N/A,http://www.vgchartz.com//games/boxart/full_1791271JapanFrontccc.jpg,15th Mar 18,16946,PS4,http://www.vgchartz.com//games/game.php?id=221704&region=All,Koei Tecmo,N/A,N/A,Winning Post 8 2018-:-PS4,0.02
98,Blue Monkey Studios,N/A,http://www.vgchartz.com//games/boxart/full_2248347AmericaFrontccc.jpg,21st Apr 09,16894,Wii,http://www.vgchartz.com//games/game.php?id=31744&region=All,Zoo Digital Publishing,N/A,N/A,Jelly Belly: Ballistic Beans-:-Wii,0.02
99,Nippon Ichi Software,N/A,http://www.vgchartz.com//games/boxart/full_7479649AmericaFrontccc.jpg,26th Aug 08,3909,PS3,http://www.vgchartz.com//games/game.php?id=7728&region=All,NIS America,7.8,8.2,Disgaea 3: Absence of Justice-:-PS3,0.55
100,Square Enix,N/A,http://www.vgchartz.com//games/boxart/full_saga-3-jikuu-no-hasha-shadow-or-light_361JapanFront.jpg,06th Jan 11,12127,DS,http://www.vgchartz.com//games/game.php?id=47077&region=All,Square Enix,N/A,N/A,SaGa 3: Jikuu no Hasha - Shadow or Light-:-DS,0.08
101,Paramount Interactive,N/A,http://www.vgchartz.com//games/boxart/full_8034321AmericaFrontccc.jpg,06th Jan 09,19903,PC,http://www.vgchartz.com//games/game.php?id=29463&region=All,505 Games,N/A,N/A,Hotel for Dogs-:-PC,0.01
102,Unknown,N/A,http://www.vgchartz.com//games/boxart/default.jpg,26th Feb 15,18505,PS4,http://www.vgchartz.com//games/game.php?id=85978&region=All,Namco Bandai Games,N/A,N/A,Woodcutter Simulator 2016-:-PS4,0.01
103,KCEJ,N/A,http://www.vgchartz.com//games/boxart/2761032ccc.jpg,26th Oct 04,4653,GBA,http://www.vgchartz.com//games/game.php?id=14929&region=All,Konami,N/A,N/A,Yu-Gi-Oh! Destiny Board Traveler-:-GBA,0.45
104,Toys for Bob,N/A,http://www.vgchartz.com//games/boxart/full_5176378AmericaFrontccc.jpg,30th Sep 98,10071,PS,http://www.vgchartz.com//games/game.php?id=7404&region=All,Eidos Interactive,N/A,N/A,The Unholy War-:-PS,0.13
105,Firaxis Games,N/A,http://www.vgchartz.com//games/boxart/full_7935096AmericaFrontccc.jpg,27th Sep 16,6180,PS4,http://www.vgchartz.com//games/game.php?id=117546&region=All,2K Games,N/A,N/A,XCOM 2-:-PS4,0.31
106,SquareSoft,N/A,http://www.vgchartz.com//games/boxart/full_3529719AmericaFrontccc.jpg,29th Feb 00,4141,PS,http://www.vgchartz.com//games/game.php?id=3362&region=All,Square,N/A,N/A,Front Mission 3-:-PS,0.52
107,Sega,N/A,http://www.vgchartz.com//games/boxart/full_2130983AmericaFrontccc.jpg,21st Aug 18,6779,PS4,http://www.vgchartz.com//games/game.php?id=221914&region=All,Sega,N/A,N/A,Shenmue I & II-:-PS4,0.27
108,Eighting/Raizing,N/A,http://www.vgchartz.com//games/boxart/full_4641190PALFrontccc.jpg,22nd Jun 01,6206,GBA,http://www.vgchartz.com//games/game.php?id=3631&region=All,Nintendo,7.2,N/A,KuruKuru Kururin-:-GBA,0.31
